fold,q_hat,config,precision,recall,f1,coverage,ece,selective_risk,n
0,0.4,Evidence-Free,0.4375,0.35,0.38888888888888884,1.0,0.4285714285714286,0.4489795918367347,49
0,0.4,Evidence-Cond. (No Cal.),0.4375,0.35,0.38888888888888884,1.0,0.4285714285714286,0.4489795918367347,49
0,0.4,EVICT (No Symb.),0.4375,0.35,0.38888888888888884,1.0,0.4285714285714286,0.4489795918367347,49
0,0.4,EVICT (Full),0.4375,0.35,0.38888888888888884,1.0,0.4285714285714286,0.4489795918367347,49
1,0.19999999999999996,Evidence-Free,0.4,0.3333333333333333,0.3636363636363636,1.0,0.37142857142857144,0.42857142857142855,49
1,0.19999999999999996,Evidence-Cond. (No Cal.),0.4,0.3333333333333333,0.3636363636363636,1.0,0.37142857142857144,0.42857142857142855,49
1,0.19999999999999996,EVICT (No Symb.),0.5454545454545454,0.3333333333333333,0.41379310344827586,0.8979591836734694,0.36818181818181817,0.38636363636363635,44
1,0.19999999999999996,EVICT (Full),0.5,0.3333333333333333,0.4,1.0,0.3510204081632653,0.3673469387755102,49
2,0.19999999999999996,Evidence-Free,0.5555555555555556,0.3125,0.39999999999999997,1.0,0.2938775510204082,0.30612244897959184,49
2,0.19999999999999996,Evidence-Cond. (No Cal.),0.5555555555555556,0.3125,0.39999999999999997,1.0,0.2938775510204082,0.30612244897959184,49
2,0.19999999999999996,EVICT (No Symb.),0.5555555555555556,0.3125,0.39999999999999997,1.0,0.2938775510204082,0.30612244897959184,49
2,0.19999999999999996,EVICT (Full),0.5555555555555556,0.3125,0.39999999999999997,1.0,0.2938775510204082,0.30612244897959184,49
3,0.19999999999999996,Evidence-Free,0.3333333333333333,0.2777777777777778,0.303030303030303,1.0,0.4693877551020409,0.46938775510204084,49
3,0.19999999999999996,Evidence-Cond. (No Cal.),0.3333333333333333,0.2777777777777778,0.303030303030303,1.0,0.4693877551020409,0.46938775510204084,49
3,0.19999999999999996,EVICT (No Symb.),0.25,0.1875,0.21428571428571427,0.9387755102040817,0.46956521739130436,0.4782608695652174,46
3,0.19999999999999996,EVICT (Full),0.25,0.16666666666666666,0.2,1.0,0.4734693877551021,0.4897959183673469,49
4,0.19999999999999996,Evidence-Free,0.6428571428571429,0.45,0.5294117647058824,1.0,0.30204081632653057,0.32653061224489793,49
4,0.19999999999999996,Evidence-Cond. (No Cal.),0.6428571428571429,0.45,0.5294117647058824,1.0,0.30204081632653057,0.32653061224489793,49
4,0.19999999999999996,EVICT (No Symb.),0.6666666666666666,0.42105263157894735,0.5161290322580646,0.9591836734693877,0.3106382978723405,0.3191489361702128,47
4,0.19999999999999996,EVICT (Full),0.6153846153846154,0.4,0.4848484848484849,1.0,0.3224489795918367,0.3469387755102041,49
