fold,q_hat,config,precision,recall,f1,coverage,ece,selective_risk,n
0,0.0,Evidence-Free,0.40816326530612246,1.0,0.5797101449275363,1.0,0.5918367346938775,0.5918367346938775,49
0,0.0,Evidence-Cond. (No Cal.),0.40816326530612246,1.0,0.5797101449275363,1.0,0.5918367346938775,0.5918367346938775,49
0,0.0,EVICT (No Symb.),0.40816326530612246,1.0,0.5797101449275363,1.0,0.5918367346938775,0.5918367346938775,49
0,0.0,EVICT (Full),0.40816326530612246,1.0,0.5797101449275363,1.0,0.5918367346938775,0.5918367346938775,49
1,0.0,Evidence-Free,0.3673469387755102,1.0,0.5373134328358209,1.0,0.6244897959183673,0.6326530612244898,49
1,0.0,Evidence-Cond. (No Cal.),0.3673469387755102,1.0,0.5373134328358209,1.0,0.6244897959183673,0.6326530612244898,49
1,0.0,EVICT (No Symb.),0.3829787234042553,1.0,0.5538461538461539,0.9591836734693877,0.6170212765957447,0.6170212765957447,47
1,0.0,EVICT (Full),0.3673469387755102,1.0,0.5373134328358209,1.0,0.6244897959183673,0.6326530612244898,49
2,0.0,Evidence-Free,0.32653061224489793,1.0,0.4923076923076923,1.0,0.6693877551020408,0.673469387755102,49
2,0.0,Evidence-Cond. (No Cal.),0.32653061224489793,1.0,0.4923076923076923,1.0,0.6693877551020408,0.673469387755102,49
2,0.0,EVICT (No Symb.),0.3333333333333333,1.0,0.5,0.9795918367346939,0.6666666666666667,0.6666666666666666,48
2,0.0,EVICT (Full),0.3333333333333333,1.0,0.5,1.0,0.6571428571428573,0.6530612244897959,49
3,0.0,Evidence-Free,0.3673469387755102,1.0,0.5373134328358209,1.0,0.6326530612244898,0.6326530612244898,49
3,0.0,Evidence-Cond. (No Cal.),0.3673469387755102,1.0,0.5373134328358209,1.0,0.6326530612244898,0.6326530612244898,49
3,0.0,EVICT (No Symb.),0.3673469387755102,1.0,0.5373134328358209,1.0,0.6326530612244898,0.6326530612244898,49
3,0.0,EVICT (Full),0.3673469387755102,1.0,0.5373134328358209,1.0,0.6326530612244898,0.6326530612244898,49
4,0.0,Evidence-Free,0.40816326530612246,1.0,0.5797101449275363,1.0,0.5836734693877551,0.5918367346938775,49
4,0.0,Evidence-Cond. (No Cal.),0.40816326530612246,1.0,0.5797101449275363,1.0,0.5836734693877551,0.5918367346938775,49
4,0.0,EVICT (No Symb.),0.40425531914893614,1.0,0.5757575757575757,0.9591836734693877,0.5957446808510638,0.5957446808510638,47
4,0.0,EVICT (Full),0.3958333333333333,0.95,0.5588235294117647,1.0,0.6040816326530611,0.6122448979591837,49
