fold,q_hat,config,precision,recall,f1,coverage,ece,selective_risk,n
0,0.19999999999999996,Evidence-Free,0.41025641025641024,0.8,0.5423728813559321,1.0,0.48571428571428577,0.5510204081632653,49
0,0.19999999999999996,Evidence-Cond. (No Cal.),0.41025641025641024,0.8,0.5423728813559321,1.0,0.48571428571428577,0.5510204081632653,49
0,0.19999999999999996,EVICT (No Symb.),0.4444444444444444,0.8421052631578947,0.5818181818181818,0.8979591836734694,0.49545454545454554,0.5227272727272727,44
0,0.19999999999999996,EVICT (Full),0.42105263157894735,0.8,0.5517241379310345,1.0,0.4653061224489796,0.5306122448979592,49
1,0.4,Evidence-Free,0.32558139534883723,0.7777777777777778,0.459016393442623,1.0,0.636734693877551,0.673469387755102,49
1,0.4,Evidence-Cond. (No Cal.),0.32558139534883723,0.7777777777777778,0.459016393442623,1.0,0.636734693877551,0.673469387755102,49
1,0.4,EVICT (No Symb.),0.32558139534883723,0.7777777777777778,0.459016393442623,1.0,0.636734693877551,0.673469387755102,49
1,0.4,EVICT (Full),0.32558139534883723,0.7777777777777778,0.459016393442623,1.0,0.636734693877551,0.673469387755102,49
2,0.4,Evidence-Free,0.35,0.875,0.4999999999999999,1.0,0.5387755102040817,0.5714285714285714,49
2,0.4,Evidence-Cond. (No Cal.),0.35,0.875,0.4999999999999999,1.0,0.5387755102040817,0.5714285714285714,49
2,0.4,EVICT (No Symb.),0.35,0.875,0.4999999999999999,1.0,0.5387755102040817,0.5714285714285714,49
2,0.4,EVICT (Full),0.35,0.875,0.4999999999999999,1.0,0.5387755102040817,0.5714285714285714,49
3,0.4,Evidence-Free,0.3023255813953488,0.7222222222222222,0.4262295081967213,1.0,0.6938775510204083,0.7142857142857143,49
3,0.4,Evidence-Cond. (No Cal.),0.3023255813953488,0.7222222222222222,0.4262295081967213,1.0,0.6938775510204083,0.7142857142857143,49
3,0.4,EVICT (No Symb.),0.3023255813953488,0.7222222222222222,0.4262295081967213,1.0,0.6938775510204083,0.7142857142857143,49
3,0.4,EVICT (Full),0.3023255813953488,0.7222222222222222,0.4262295081967213,1.0,0.6938775510204083,0.7142857142857143,49
4,0.4,Evidence-Free,0.45,0.9,0.6,1.0,0.489795918367347,0.4897959183673469,49
4,0.4,Evidence-Cond. (No Cal.),0.45,0.9,0.6,1.0,0.489795918367347,0.4897959183673469,49
4,0.4,EVICT (No Symb.),0.45,0.9,0.6,1.0,0.489795918367347,0.4897959183673469,49
4,0.4,EVICT (Full),0.45,0.9,0.6,1.0,0.489795918367347,0.4897959183673469,49
