fold,q_hat,config,precision,recall,f1,coverage,ece,selective_risk,n
0,0.4,Evidence-Free,0.3939393939393939,0.65,0.490566037735849,1.0,0.35510204081632657,0.5510204081632653,49
0,0.4,Evidence-Cond. (No Cal.),0.3939393939393939,0.65,0.490566037735849,1.0,0.35510204081632657,0.5510204081632653,49
0,0.4,EVICT (No Symb.),0.40625,0.65,0.5000000000000001,0.9795918367346939,0.35,0.5416666666666666,48
0,0.4,EVICT (Full),0.40625,0.65,0.5000000000000001,1.0,0.3346938775510204,0.5306122448979592,49
1,0.4,Evidence-Free,0.375,0.8333333333333334,0.5172413793103448,1.0,0.4,0.5714285714285714,49
1,0.4,Evidence-Cond. (No Cal.),0.375,0.8333333333333334,0.5172413793103448,1.0,0.4,0.5714285714285714,49
1,0.4,EVICT (No Symb.),0.375,0.8333333333333334,0.5172413793103448,1.0,0.4,0.5714285714285714,49
1,0.4,EVICT (Full),0.375,0.8333333333333334,0.5172413793103448,1.0,0.4,0.5714285714285714,49
2,0.4,Evidence-Free,0.4074074074074074,0.6875,0.5116279069767441,1.0,0.2,0.42857142857142855,49
2,0.4,Evidence-Cond. (No Cal.),0.4074074074074074,0.6875,0.5116279069767441,1.0,0.2,0.42857142857142855,49
2,0.4,EVICT (No Symb.),0.4074074074074074,0.6875,0.5116279069767441,1.0,0.2,0.42857142857142855,49
2,0.4,EVICT (Full),0.4074074074074074,0.6875,0.5116279069767441,1.0,0.2,0.42857142857142855,49
3,0.4,Evidence-Free,0.37142857142857144,0.7222222222222222,0.490566037735849,1.0,0.39591836734693875,0.5510204081632653,49
3,0.4,Evidence-Cond. (No Cal.),0.37142857142857144,0.7222222222222222,0.490566037735849,1.0,0.39591836734693875,0.5510204081632653,49
3,0.4,EVICT (No Symb.),0.37142857142857144,0.7222222222222222,0.490566037735849,0.9591836734693877,0.38723404255319144,0.574468085106383,47
3,0.4,EVICT (Full),0.37142857142857144,0.7222222222222222,0.490566037735849,1.0,0.39591836734693875,0.5510204081632653,49
4,0.4,Evidence-Free,0.4375,0.7,0.5384615384615384,1.0,0.32244897959183677,0.4897959183673469,49
4,0.4,Evidence-Cond. (No Cal.),0.4375,0.7,0.5384615384615384,1.0,0.32244897959183677,0.4897959183673469,49
4,0.4,EVICT (No Symb.),0.4375,0.7,0.5384615384615384,0.9795918367346939,0.3166666666666667,0.5,48
4,0.4,EVICT (Full),0.4375,0.7,0.5384615384615384,1.0,0.32244897959183677,0.4897959183673469,49
